clip_dir,frame_idx,is_clean
data/Avenue/frames_train\01,0,1
data/Avenue/frames_train\01,1,1
data/Avenue/frames_train\01,2,1
data/Avenue/frames_train\01,3,1
data/Avenue/frames_train\01,4,1
data/Avenue/frames_train\01,5,1
data/Avenue/frames_train\01,6,1
data/Avenue/frames_train\01,7,1
data/Avenue/frames_train\01,8,1
data/Avenue/frames_train\01,9,1
data/Avenue/frames_train\01,10,1
data/Avenue/frames_train\01,11,1
data/Avenue/frames_train\01,12,1
data/Avenue/frames_train\01,13,1
data/Avenue/frames_train\01,14,1
data/Avenue/frames_train\01,15,1
data/Avenue/frames_train\01,16,1
data/Avenue/frames_train\01,17,1
data/Avenue/frames_train\01,18,1
data/Avenue/frames_train\01,19,1
data/Avenue/frames_train\01,20,1
data/Avenue/frames_train\01,21,1
data/Avenue/frames_train\01,22,1
data/Avenue/frames_train\01,23,1
data/Avenue/frames_train\01,24,1
data/Avenue/frames_train\01,25,1
data/Avenue/frames_train\01,26,1
data/Avenue/frames_train\01,27,1
data/Avenue/frames_train\01,28,1
data/Avenue/frames_train\01,29,1
data/Avenue/frames_train\01,30,1
data/Avenue/frames_train\01,31,1
data/Avenue/frames_train\01,32,1
data/Avenue/frames_train\01,33,1
data/Avenue/frames_train\01,34,1
data/Avenue/frames_train\01,35,1
data/Avenue/frames_train\01,36,1
data/Avenue/frames_train\01,37,1
data/Avenue/frames_train\01,38,1
data/Avenue/frames_train\01,39,1
data/Avenue/frames_train\01,40,1
data/Avenue/frames_train\01,41,1
data/Avenue/frames_train\01,42,1
data/Avenue/frames_train\01,43,1
data/Avenue/frames_train\01,44,1
data/Avenue/frames_train\01,45,1
data/Avenue/frames_train\01,46,1
data/Avenue/frames_train\01,47,1
data/Avenue/frames_train\01,48,1
data/Avenue/frames_train\01,49,1
data/Avenue/frames_train\01,50,1
data/Avenue/frames_train\01,51,1
data/Avenue/frames_train\01,52,1
data/Avenue/frames_train\01,53,1
data/Avenue/frames_train\01,54,1
data/Avenue/frames_train\01,55,1
data/Avenue/frames_train\01,56,1
data/Avenue/frames_train\01,57,1
data/Avenue/frames_train\01,58,1
data/Avenue/frames_train\01,59,1
data/Avenue/frames_train\01,60,1
data/Avenue/frames_train\01,61,1
data/Avenue/frames_train\01,62,1
data/Avenue/frames_train\01,63,1
data/Avenue/frames_train\01,64,1
data/Avenue/frames_train\01,65,1
data/Avenue/frames_train\01,66,1
data/Avenue/frames_train\01,67,1
data/Avenue/frames_train\01,68,1
data/Avenue/frames_train\01,69,1
data/Avenue/frames_train\01,70,1
data/Avenue/frames_train\01,71,1
data/Avenue/frames_train\01,72,1
data/Avenue/frames_train\01,73,1
data/Avenue/frames_train\01,74,1
data/Avenue/frames_train\01,75,1
data/Avenue/frames_train\01,76,1
data/Avenue/frames_train\01,77,1
data/Avenue/frames_train\01,78,1
data/Avenue/frames_train\01,79,1
data/Avenue/frames_train\01,80,1
data/Avenue/frames_train\01,81,1
data/Avenue/frames_train\01,82,1
data/Avenue/frames_train\01,83,1
data/Avenue/frames_train\01,84,1
data/Avenue/frames_train\01,85,1
data/Avenue/frames_train\01,86,1
data/Avenue/frames_train\01,87,1
data/Avenue/frames_train\01,88,1
data/Avenue/frames_train\01,89,1
data/Avenue/frames_train\01,90,1
data/Avenue/frames_train\01,91,1
data/Avenue/frames_train\01,92,1
data/Avenue/frames_train\01,93,1
data/Avenue/frames_train\01,94,1
data/Avenue/frames_train\01,95,1
